Date,Open,High,Low,Close,Adj Close,Volume
2018-04-05,4.510000,4.540000,4.250000,4.350000,4.350000,496700
2018-04-06,4.240000,4.470000,4.170000,4.410000,4.410000,856700
2018-04-09,4.370000,4.540000,4.280000,4.340000,4.340000,448000
2018-04-10,4.390000,4.660000,4.360000,4.540000,4.540000,791700
2018-04-11,4.550000,4.900000,4.500000,4.870000,4.870000,1184100
2018-04-12,4.640000,4.700000,4.350000,4.580000,4.580000,982600
2018-04-13,4.570000,4.690000,4.500000,4.590000,4.590000,463600
2018-04-16,4.550000,4.600000,4.260000,4.370000,4.370000,659100
2018-04-17,4.270000,4.450000,4.210000,4.290000,4.290000,526200
2018-04-18,4.240000,4.390000,4.240000,4.320000,4.320000,316700
2018-04-19,4.290000,4.470000,4.250000,4.290000,4.290000,333800
2018-04-20,4.250000,4.400000,4.210000,4.240000,4.240000,400500
2018-04-23,4.200000,4.230000,3.870000,4.040000,4.040000,652400
2018-04-24,4.030000,4.300000,3.970000,4.070000,4.070000,615700
2018-04-25,4.050000,4.200000,3.980000,4.190000,4.190000,414900
2018-04-26,4.220000,4.220000,4.060000,4.150000,4.150000,213600
2018-04-27,4.130000,4.150000,4.000000,4.100000,4.100000,394500
2018-04-30,4.160000,4.400000,4.100000,4.320000,4.320000,788000
2018-05-01,4.240000,4.310000,3.980000,4.140000,4.140000,820900
2018-05-02,4.140000,4.250000,4.110000,4.150000,4.150000,250400
2018-05-03,4.130000,4.170000,4.020000,4.080000,4.080000,246800
2018-05-04,4.080000,4.170000,4.060000,4.150000,4.150000,270200
2018-05-07,4.190000,4.350000,4.170000,4.270000,4.270000,423300
2018-05-08,4.380000,4.700000,4.280000,4.540000,4.540000,987300
2018-05-09,4.500000,4.550000,4.110000,4.370000,4.370000,909500
2018-05-10,4.320000,4.340000,4.190000,4.260000,4.260000,376500
2018-05-11,4.220000,4.280000,4.180000,4.220000,4.220000,310700
2018-05-14,4.210000,4.350000,4.190000,4.230000,4.230000,362900
2018-05-15,4.230000,4.230000,4.040000,4.090000,4.090000,478500
2018-05-16,4.120000,4.230000,4.040000,4.070000,4.070000,358200
2018-05-17,4.090000,4.280000,4.080000,4.150000,4.150000,486500
2018-05-18,4.100000,4.160000,3.890000,3.960000,3.960000,744900
2018-05-21,3.990000,4.040000,3.560000,3.670000,3.670000,895100
2018-05-22,3.690000,3.870000,3.680000,3.790000,3.790000,386600
2018-05-23,3.750000,3.770000,3.610000,3.760000,3.760000,451500
2018-05-24,3.740000,3.830000,3.560000,3.700000,3.700000,467200
2018-05-25,3.670000,3.700000,3.500000,3.530000,3.530000,649300
2018-05-29,3.500000,3.660000,3.500000,3.610000,3.610000,355900
2018-05-30,3.610000,3.790000,3.560000,3.620000,3.620000,423700
2018-05-31,3.620000,3.730000,3.500000,3.560000,3.560000,538100
2018-06-01,3.540000,3.600000,3.020000,3.170000,3.170000,1185400
2018-06-04,3.120000,3.140000,2.980000,3.030000,3.030000,881000
2018-06-05,2.990000,3.170000,2.990000,3.070000,3.070000,353400
2018-06-06,3.070000,3.200000,2.820000,2.890000,2.890000,702200
2018-06-07,2.890000,3.090000,2.880000,2.970000,2.970000,378200
2018-06-08,3.010000,3.010000,2.860000,2.900000,2.900000,343900
2018-06-11,2.920000,3.130000,2.880000,3.070000,3.070000,542800
2018-06-12,3.200000,3.500000,3.110000,3.240000,3.240000,615700
2018-06-13,3.310000,3.480000,3.280000,3.440000,3.440000,449900
2018-06-14,3.430000,3.580000,3.200000,3.200000,3.200000,331800
2018-06-15,3.200000,3.300000,2.960000,3.030000,3.030000,732800
2018-06-18,3.070000,3.270000,3.050000,3.130000,3.130000,294900
2018-06-19,3.180000,3.210000,3.040000,3.130000,3.130000,348300
2018-06-20,3.240000,3.260000,3.060000,3.260000,3.260000,600800
2018-06-21,3.230000,3.360000,3.090000,3.320000,3.320000,583000
2018-06-22,3.380000,3.890000,3.330000,3.860000,3.860000,6980600
2018-06-25,3.850000,3.920000,3.450000,3.880000,3.880000,847300
2018-06-26,3.860000,4.250000,3.800000,4.120000,4.120000,876500
2018-06-27,4.170000,4.360000,4.110000,4.190000,4.190000,1016900
2018-06-28,4.160000,4.330000,3.730000,4.330000,4.330000,936000
2018-06-29,4.240000,4.330000,4.020000,4.060000,4.060000,414500
2018-07-02,4.020000,4.260000,3.850000,4.150000,4.150000,543200
2018-07-03,4.180000,4.200000,3.950000,4.040000,4.040000,211200
2018-07-05,4.000000,4.040000,3.890000,3.950000,3.950000,335400
2018-07-06,3.940000,4.110000,3.870000,4.030000,4.030000,325100
2018-07-09,3.960000,4.080000,3.960000,4.050000,4.050000,187700
2018-07-10,4.020000,4.150000,3.910000,3.970000,3.970000,385300
2018-07-11,3.940000,4.120000,3.780000,4.000000,4.000000,457100
2018-07-12,3.490000,3.720000,3.100000,3.560000,3.560000,1587000
2018-07-13,3.500000,3.560000,3.300000,3.330000,3.330000,681800
2018-07-16,3.280000,3.310000,3.050000,3.270000,3.270000,672100
