Date,Open,High,Low,Close,Adj Close,Volume
2018-01-10,11.090000,11.170000,10.519000,10.640000,10.640000,2879900
2018-01-11,10.320000,10.380000,9.620000,9.750000,9.750000,5395600
2018-01-12,9.310000,9.380000,7.673000,8.300000,8.300000,9870200
2018-01-16,9.800000,10.403000,9.300000,9.620000,9.620000,5238900
2018-01-17,9.940000,10.130000,9.550000,9.920000,9.920000,2671100
2018-01-18,9.660000,10.810000,9.460000,10.468000,10.468000,4199300
2018-01-19,10.715000,10.940000,10.645000,10.770000,10.770000,2359500
2018-01-22,11.120000,11.655000,11.120000,11.650000,11.650000,4514600
2018-01-23,11.660000,12.040000,10.995000,11.939000,11.939000,4070700
2018-01-24,12.070000,12.300000,11.321000,11.351000,11.351000,4713100
2018-01-25,11.390000,11.420000,10.250000,10.640000,10.640000,4543100
2018-01-26,10.450000,11.103000,9.900000,10.810000,10.810000,3587300
2018-01-29,11.030000,11.150000,10.390000,10.490000,10.490000,2356400
2018-01-30,10.050000,10.274000,9.446000,9.446000,9.446000,4185700
2018-01-31,9.400000,9.950000,8.948000,9.547000,9.547000,2936500
2018-02-01,9.593000,9.700000,8.111000,8.350000,8.350000,6245700
2018-02-02,7.855000,7.870000,6.820000,6.860000,6.860000,8624400
2018-02-05,6.240000,8.213000,5.743000,7.370000,7.370000,8404500
2018-02-06,7.960000,9.252000,7.417000,9.220000,9.220000,5362400
2018-02-07,9.635000,10.006000,8.450000,8.870000,8.870000,5637000
2018-02-08,9.375000,9.604000,8.570000,8.840000,8.840000,2801500
2018-02-09,8.760000,9.080000,8.310000,8.989000,8.989000,3122900
2018-02-12,9.135000,9.300000,8.850000,9.000000,9.000000,2386000
2018-02-13,8.945000,8.990000,8.749000,8.850000,8.850000,1153200
2018-02-14,9.000000,9.000000,8.790000,8.900000,8.900000,1317000
2018-02-15,8.845000,8.930000,8.648000,8.714000,8.714000,1243700
2018-02-16,8.350000,8.503000,7.950000,8.070000,8.070000,2678600
2018-02-20,8.115000,8.790000,8.040000,8.699000,8.699000,2035400
2018-02-21,8.670000,8.840000,8.347000,8.420000,8.420000,1074800
2018-02-22,8.405000,8.570000,8.280000,8.460000,8.460000,827800
2018-02-23,8.595000,8.690000,8.350000,8.351000,8.351000,781500
2018-02-26,8.380000,8.480000,7.940000,8.040000,8.040000,1713400
2018-02-27,8.145000,8.240000,7.480000,7.750000,7.750000,2458500
2018-02-28,7.750000,8.196000,7.490000,8.100000,8.100000,1468800
2018-03-01,8.290000,8.419000,8.050000,8.400000,8.400000,1485800
2018-03-02,8.310000,8.340000,8.094000,8.230000,8.230000,757000
2018-03-05,8.095000,8.690000,8.095000,8.660000,8.660000,1616500
2018-03-06,8.885000,9.300000,8.770000,9.130000,9.130000,2393500
2018-03-07,9.045000,9.280000,8.650000,8.720000,8.720000,1439500
2018-03-08,8.770000,8.990000,8.600000,8.690000,8.690000,970200
2018-03-09,8.885000,9.010000,8.750000,8.850000,8.850000,1075900
2018-03-12,9.050000,9.100000,8.750000,9.080000,9.080000,1467200
2018-03-13,9.065000,9.250000,8.790000,8.810000,8.810000,1425000
2018-03-14,8.715000,8.837000,8.640000,8.730000,8.730000,549800
2018-03-15,8.700000,8.740000,8.530000,8.620000,8.620000,618400
2018-03-16,8.595000,8.650000,8.282000,8.290000,8.290000,1090000
2018-03-19,8.355000,8.500000,8.200000,8.280000,8.280000,1022100
2018-03-20,8.160000,8.290000,7.860000,7.890000,7.890000,1755500
2018-03-21,7.940000,8.100000,7.680000,7.819000,7.819000,1306700
2018-03-22,7.775000,7.870000,7.370000,7.470000,7.470000,1929200
2018-03-23,8.065000,8.110000,7.800000,7.869000,7.869000,2145300
2018-03-26,7.940000,7.980000,7.553000,7.701000,7.701000,1146900
2018-03-27,7.775000,7.800000,7.380000,7.397000,7.397000,1075200
2018-03-28,7.395000,7.520000,6.943000,7.000000,7.000000,2022800
2018-03-29,6.930000,7.340000,6.800000,7.270000,7.270000,1514400
2018-04-02,7.175000,7.290000,6.680000,6.850000,6.850000,2116700
2018-04-03,6.885000,7.150000,6.250000,6.270000,6.270000,1707300
2018-04-04,6.005000,6.190000,5.700000,6.000000,6.000000,3752900
2018-04-05,6.180000,6.647000,6.050000,6.647000,6.647000,1800100
2018-04-06,6.520000,6.540000,6.140000,6.323000,6.323000,1467800
2018-04-09,6.300000,6.400000,5.750000,5.824000,5.824000,1879400
2018-04-10,5.625000,6.340000,5.335000,6.230000,6.230000,3760000
2018-04-11,6.275000,6.540000,6.050000,6.330000,6.330000,1481000
2018-04-12,6.330000,6.510000,6.250000,6.390000,6.390000,878300
2018-04-13,6.350000,7.020000,6.290000,6.910000,6.910000,2009400
2018-04-16,7.210000,7.300000,7.040000,7.107000,7.107000,1950800
2018-04-17,7.220000,7.280000,6.690000,6.760000,6.760000,1476500
2018-04-18,6.760000,6.989000,6.698000,6.850000,6.850000,924400
2018-04-19,6.880000,6.950000,6.728000,6.890000,6.890000,1336400
2018-04-20,6.890000,7.020000,6.740000,6.750000,6.750000,1018200
2018-04-23,6.750000,6.840000,6.240000,6.240000,6.240000,1449500
2018-04-24,6.220000,6.530000,6.110000,6.450000,6.450000,866200
2018-04-25,6.470000,6.490000,6.050000,6.060000,6.060000,1338900
2018-04-26,6.115000,6.250000,6.000000,6.020000,6.020000,1068600
2018-04-27,6.070000,6.130000,5.860000,5.980000,5.980000,1239000
2018-04-30,5.995000,6.400000,5.960000,6.299000,6.299000,1196000
2018-05-01,6.300000,6.400000,6.030000,6.120000,6.120000,1021200
2018-05-02,6.100000,6.400000,6.020000,6.179000,6.179000,1166800
2018-05-03,6.145000,6.370000,6.108000,6.230000,6.230000,745200
2018-05-04,6.300000,6.390000,6.200000,6.258000,6.258000,580000
2018-05-07,6.365000,6.440000,6.250000,6.280000,6.280000,704700
2018-05-08,6.300000,6.350000,6.010000,6.027000,6.027000,1322700
2018-05-09,6.095000,6.260000,6.030000,6.221000,6.221000,814100
