;AAL;ACB;AMD;BA;GD;GOOG;LMT;MU;NOC;NRT;RTN;USO;ZN;^GSPC;Words
42;1,75835;3,87357;2,45947;1,43742;1,02356;1,10187;0,93318;2,10136;1,16443;1,58603;1,02187;1,44389;5,0217;0,64717;trump
43;1,78696;3,82946;2,61417;1,37895;0,95487;1,09552;0,92476;2,22541;1,10629;1,56759;1,04187;1,46285;4,8828;0,63538;just
44;1,77643;3,88482;2,51664;1,33234;0,9824;1,08121;0,90319;2,23099;1,13619;1,64035;1,04053;1,39387;4,78898;0,62047;who
45;1,67614;3,76125;2,42306;1,44688;0,97536;1,11929;0,94827;2,10946;1,14194;1,55839;1,00021;1,4307;4,97567;0,6583;from
46;1,74659;3,85358;2,71488;1,48494;1,07901;1,16027;0,9797;2,16601;1,23593;1,56577;1,10529;1,31419;4,57254;0,66332;us
47;1,65705;3,73834;2,42262;1,33526;0,94171;1,04229;0,93261;2,12724;1,08298;1,60096;1,02877;1,38353;4,58181;0,5952;now
48;1,78856;3,60335;2,48103;1,46545;1,0292;1,16397;0,92236;2,13666;1,15949;1,60741;1,035;1,36617;5,24913;0,67143;their
49;1,70597;3,51904;2,43269;1,31523;0,9383;1,07159;0,88462;2,0977;1,13141;1,59321;0,96195;1,41301;4,98566;0,62334;do
50;1,7522;3,66121;2,53245;1,37007;1,01562;1,13506;0,8835;2,21603;1,14035;1,61293;0,98712;1,4125;4,61772;0,63682;but
51;1,7947;3,66915;2,78546;1,40863;1,02497;1,19284;0,89242;2,19965;1,12517;1,49644;1,03147;1,43802;5,12533;0,64984;his
52;1,82798;3,74972;2,59159;1,42111;0,95549;1,05314;0,95106;2,25962;1,11446;1,5658;1,00848;1,38206;4,97557;0,61543;more
53;1,83233;3,69632;2,62713;1,50566;1,01378;1,19048;0,97178;2,27922;1,17381;1,54667;1,06018;1,3874;5,08403;0,68934;country
54;1,86143;3,64787;2,48515;1,43317;1,00612;1,13325;0,95552;2,20653;1,15583;1,55141;1,05003;1,44959;4,67971;0,65062;been
55;1,82485;3,5887;2,65499;1,37107;1,01451;1,06804;0,94908;2,09146;1,15303;1,45823;1,03542;1,4048;5,16795;0,63774;thank
56;1,75524;3,77229;2,44376;1,39824;1,03386;1,10072;0,92046;2,1561;1,12079;1,59798;1,0165;1,36578;4,54926;0,64569;news
57;1,70264;3,86465;2,40283;1,31915;0,9105;1,03787;0,87576;2,19984;1,09391;1,62337;0,95964;1,41682;5,05443;0,58302;about
58;1,7493;3,9112;2,38782;1,44424;1,01731;1,16022;0,99955;2,11802;1,21265;1,55488;1,03638;1,41679;5,22177;0,6501;new
59;1,76598;3,92878;2,60036;1,41568;1,01951;1,09052;0,92335;2,22551;1,20951;1,57619;1,05506;1,40101;5,0664;0,64283;or
60;1,83973;3,86509;2,57037;1,40375;1,00104;1,21088;0,9243;2,27303;1,19412;1,52969;1,06004;1,40806;4,84104;0,66916;out
61;1,68442;3,82416;2,53595;1,47363;0,97636;1,07878;0,90735;2,14732;1,10014;1,52103;0,98962;1,35915;4,98496;0,65166;an
62;1,85772;3,65882;2,58629;1,40069;1,04058;1,11312;0,93278;2,15069;1,08783;1,49577;1,07291;1,32097;4,40799;0,65205;big
63;1,78966;3,75338;2,36152;1,42207;0,96086;1,09711;0,89728;2,20668;1,14644;1,55741;1,00957;1,52185;4,93793;0,64472;there
64;1,97425;3,67371;2,60753;1,61147;1,06754;1,15258;1,02687;2,26562;1,24929;1,65405;1,19178;1,41915;3,86061;0,68666;border
65;1,9271;3,86112;2,67804;1,52887;1,03889;1,08975;0,99456;2,21485;1,21112;1,57027;1,11099;1,502;4,62003;0,67085;get
66;1,71629;3,50212;2,54974;1,45382;1,0342;1,0465;0,96142;2,36926;1,2112;1,50532;1,09893;1,45031;4,75387;0,65437;many
67;1,79125;3,76153;2,55428;1,45639;0,97341;1,16443;0,87767;2,17358;1,09176;1,62297;1,01742;1,375;5,3444;0,63919;what
68;1,75398;3,69463;2,64664;1,39758;0,98304;1,15232;0,92463;2,25088;1,07926;1,67903;1,00842;1,48517;4,48529;0,62699;up
69;1,64143;4,04975;2,42151;1,25314;0,94124;1,09029;0,87445;2,18936;1,13984;1,60378;1,0024;1,4442;4,93727;0,59697;if
70;1,79332;3,80699;2,56652;1,46695;1,04783;1,12972;0,97286;2,19067;1,22511;1,55295;1,07381;1,40453;5,43181;0,6587;never
71;1,79381;3,92617;2,4514;1,3315;1,01874;1,08568;0,93488;2,24676;1,15089;1,54744;1,06868;1,37274;4,41139;0,63052;would
72;1,83636;3,70632;2,73759;1,39743;1,00394;1,11204;0,91414;2,33719;1,09787;1,57785;0,96811;1,38912;4,36429;0,66659;than
73;1,73204;3,78527;2,38179;1,40114;0,96568;1,02612;0,87975;2,18982;1,09809;1,6168;0,99583;1,31735;4,25452;0,61814;fake
74;1,53471;3,84819;2,22643;1,46091;0,91934;1,07202;0,87158;2,09507;1,11047;1,56141;0,96162;1,3967;4,64974;0,59335;me
75;1,85067;3,93565;2,3964;1,4248;0,95228;1,15233;0,91671;2,20382;1,10861;1,5767;1,08556;1,34852;5,53506;0,63045;time
76;1,73883;3,50482;2,27546;1,40484;1,03516;1,01983;0,91677;2,15977;1,16165;1,5228;1,06571;1,43366;4,97655;0,60647;should
77;1,73075;3,86039;2,60081;1,36693;1,05017;1,05087;0,99727;2,28125;1,20819;1,70699;1,08396;1,31911;4,90811;0,6291;want
