;AAL;ACB;AMD;BA;GD;GOOG;LMT;MU;NOC;NRT;RTN;USO;ZN;^GSPC;Words
39;0,07755;-0,19963;0,49099;-0,0518;0,04286;0,18449;0,07635;0,12209;0,0363;-0,07133;0,09433;-0,09489;-0,02696;0,06963;as
40;-0,09782;-0,34668;0,63919;-0,02963;0,02949;0,22329;0,19169;0,11522;0,12488;-0,05833;0,15491;-0,06489;0,14521;0,10982;realdonaldtrump
41;0,00654;-0,08055;0,43437;-0,00253;-0,00692;0,03023;0,06043;0,09686;0,05849;-0,07618;0,06744;-0,01402;-0,36189;0,02506;my
42;-0,08037;-0,09331;0,32796;-0,01783;-0,00512;-0,00672;0,05259;-0,11557;0,04739;-0,10607;0,05845;-0,00055;0,06267;-0,01161;trump
43;0,09099;0,0425;0,47784;-0,09876;0,00957;0,04937;0,04854;0,15732;0,00998;-0,05763;0,03089;-0,01323;-0,16135;0,04471;just
44;-0,02856;-0,05768;0,49891;-0,0249;0,00113;0,04315;0,02762;0,10496;0,05656;-0,15989;0,09645;0,0068;-0,36837;0,04368;who
45;-0,06433;-0,32396;0,33549;-0,07821;-0,00011;0,05186;0,05354;0,12615;0,05648;-0,12608;0,10734;-0,02528;-0,26777;0,04902;from
46;-0,09579;-0,10301;0,37311;-0,02126;-0,04062;0,16596;-0,04918;0,20354;-0,04295;-0,167;-0,04609;-0,07351;0,1764;0,08404;us
47;0,02963;-0,13648;0,61964;-0,03924;0,05753;0,16469;0,09648;0,14073;0,11407;-0,12155;0,08706;-0,01703;-0,16844;0,10117;now
48;-0,0299;-0,44307;0,28015;-0,106;-0,08663;0,03934;-0,02556;0,30614;-0,02741;-0,14387;0,01817;0,13676;0,18701;0,03422;their
49;0,0746;-0,38863;0,61011;0,01148;-0,05346;0,15086;0,05457;0,31846;0,01488;-0,03748;0,03453;0,15036;0,07352;0,08454;do
50;-0,06597;-0,08409;0,53829;-0,03192;-0,04801;0,1073;0,01342;0,16614;0,00555;-0,17761;0,05948;0,09762;-0,25256;0,02908;but
51;-0,11738;-0,1338;0,55276;-0,05533;-0,08303;0,15029;0,02046;0,15921;-0,05309;-0,16522;0,01344;-0,03875;0,11574;0,05132;his
52;-0,09869;-0,23351;0,33618;-0,03101;-0,02029;0,06986;0,05783;0,07154;0,08525;-0,01787;0,03214;0,09508;-0,32456;0,0432;more
53;-0,18743;-0,46208;0,32227;0,0058;-0,0048;0,05261;0,02884;0,23328;0,05418;-0,07662;0,05946;0,07161;0,58189;0,06292;country
54;0,00926;-0,29596;0,42445;-0,11089;-0,03891;0,06816;0,02272;0,07645;0,01307;-0,14358;0,02977;0,07569;0,19785;0,04232;been
55;-0,07477;-0,43037;0,41647;-0,13607;0,00035;0,00985;0,02235;-0,01521;0,0229;-0,09996;0,01409;-0,07446;0,10361;-0,00018;thank
56;0,08387;-0,42092;0,54171;-0,1362;0,09422;0,10455;0,04995;0,1348;0,09127;0,03303;0,10015;0,02569;0,02417;0,08575;news
57;-0,03488;-0,55734;0,56991;-0,04417;-0,0055;0,11866;0,0482;0,19214;0,04075;-0,15131;0,04957;0,20774;0,04806;0,06398;about
58;0,04671;-0,48539;0,21538;-0,09838;-0,0184;0,019;0,05998;-0,05899;0,08673;-0,08428;0,04865;-0,08338;-0,10713;0,01683;new
59;0,00402;-0,09162;0,56916;0,00766;-0,04083;0,06224;0,01642;0,3283;-0,03578;-0,14071;0,01135;0,10346;0,04721;0,06686;or
60;0,12749;-0,3534;0,11345;-0,21636;-0,06976;0,10256;-0,00112;-0,05305;-0,03412;-0,00079;-0,03496;-0,21903;-0,03869;0,02373;out
61;0,04608;-0,11525;0,75383;-0,07749;-0,00606;0,10015;0,06377;0,22227;0,06001;-0,04743;0,1167;-0,02881;0,06024;0,05567;an
62;-0,07367;-0,3767;0,23398;-0,05592;-0,03455;0,03978;0,06506;0,18396;0,05971;-0,08496;0,03518;-0,09983;-0,33292;0,00958;big
63;-0,00943;-0,22377;0,56785;-0,07088;-0,05889;0,14813;0,00299;0,05041;0,11671;-0,32049;0,0445;0,05149;0,06768;0,05644;there
64;0,16079;-0,0099;0,278;0,09515;0,06181;-0,05491;0,03591;0,17667;0,10117;-0,20329;0,06065;-0,18894;-0,32143;0,02992;border
65;-0,04178;-0,21627;0,43913;-0,04011;-0,1573;0,07712;0,00223;-0,00674;0,04252;-0,24525;0,03738;-0,08984;-0,29933;0,01466;get
66;0,04594;-0,35867;0,51431;-0,14439;0,08689;0,06306;0,07945;0,22361;0,08631;-0,10564;0,06408;-0,07525;0,0566;0,06207;many
67;0,00938;-0,19036;0,46905;-0,01489;-0,08286;0,14899;-0,02488;0,2057;0,00259;-0,13667;0,00367;-0,09125;0,18385;0,04822;what
68;0,01087;-0,23697;0,3352;-0,13194;-0,11681;0,01115;-0,00751;0,1411;-0,01107;-0,03645;-0,02544;-0,04526;-0,71873;-0,00741;up
69;-0,09482;0,061;0,45788;-0,0978;-0,04314;0,06599;0,01004;-0,00893;0,01568;-0,12218;-0,01565;0,0773;-0,21819;0,02909;if
70;0,01604;-0,36803;0,65556;-0,00489;-0,00912;0,09058;0,10899;0,01259;0,08057;-0,19242;0,0621;0,01384;-0,25597;0,07482;never
71;-0,17056;-0,03588;0,44722;-0,16188;-0,13935;-0,02183;-0,00485;-0,05586;-0,01414;-0,15067;0,00438;0,05328;-0,50129;-0,01817;would
72;0,02077;-0,30759;0,34491;0,04849;-0,02739;0,05729;0,0314;0,01636;0,02501;-0,13929;0,0952;0,0177;-0,73681;0,01907;than
73;0,15902;-0,33339;0,69685;-0,061;0,14232;0,14953;0,06593;0,10726;0,07131;-0,06137;0,12167;0,05222;-0,52402;0,12303;fake
74;0,18022;-0,37092;0,4085;-0,03821;0,04072;0,11762;0,1071;0,06917;0,02531;-0,01229;0,12591;0,01138;-0,26432;0,10554;me
75;-0,07625;0,15902;0,30993;-0,06163;-0,0082;0,07784;0,08789;0,18427;0,11826;0,08794;0,07317;0,05876;0,19143;0,04072;time
76;-0,13;-0,30225;0,47927;-0,1407;0,01149;0,10118;0,12783;0,01358;0,07903;-0,22554;0,06861;0,02162;-0,13853;0,06945;should
77;-0,03549;-0,48384;0,43925;-0,01194;-0,0522;0,1269;0,02151;0,21174;-0,02349;-0,17049;0,01638;0,00198;0,15814;0,04758;want
78;-0,20683;-0,34635;0,4376;-0,10618;-0,03144;0,03913;0,03051;-0,05144;0,07581;-0,06615;0,0277;-0,04979;-0,24139;-0,00483;today
79;0,02983;-0,27412;0,50551;0,04324;0,07381;0,14465;0,03199;0,21207;0,02559;-0,3672;0,04553;-0,06406;-0,68203;0,06165;one
80;0,1029;-0,57001;0,63165;0,04712;0,05337;0,18691;0,09813;0,30607;0,08833;-0,15636;0,06366;-0,01777;-0,4294;0,12795;years
81;-0,1682;-0,21443;0,33283;-0,22809;-0,07105;0,12409;-0,04286;-0,18738;-0,0609;-0,05946;0,00338;-0,04186;0,3495;-0,00267;american
82;0,10332;-0,2614;0,33458;0,00466;-0,09089;0,0548;0,00742;0,25309;0,04268;0,0504;-0,02078;-0,02315;-0,28703;0,04837;much
83;0,12965;0,01643;0,57581;-0,07963;0,02499;0,09536;0,08412;0,22057;0,10234;-0,06936;0,14247;0,11494;-0,25744;0,0525;good
84;0,04352;-0,18627;0,62589;-0,07951;0,15062;0,14692;0,11144;0,35024;0,11713;0,10069;0,16168;0,026;-0,155;0,07816;your
85;0,02226;0,05127;0,78484;-0,06982;-0,09415;0,09487;-0,06612;0,10847;-0,05046;-0,1392;-0,05341;0,06874;-0,97039;0,03164;when
86;0,04566;-0,92865;0,5012;-0,07662;-0,00795;0,18481;0,10454;0,09678;0,06063;-0,03343;0,03201;-0,12;0,0183;0,06369;united
87;0,16656;-0,08608;0,41797;-0,13776;0,11849;0,04465;0,12799;0,04611;0,11953;0,16393;0,21853;-0,00511;-0,28724;0,092;media
88;-0,03402;0,00061;0,50462;0,05304;-0,01726;0,19294;0,08107;0,28854;0,12596;-0,03576;0,14442;0,09787;-0,14669;0,08214;america
89;-0,08775;-0,37251;0,30934;-0,16105;0,04207;0,17929;0,00857;0,0302;0,16088;-0,04491;0,06757;0,01469;0,46531;0,07931;house
90;0,13444;-0,70869;0,42161;-0,06244;0,05651;0,01108;0,02309;0,12197;-0,00559;-0,20763;0,07128;-0,08788;-0,51208;0,05519;even
91;-0,0393;-0,25062;0,38173;-0,14514;-0,07219;-0,01827;-0,02036;0,08377;-0,06715;-0,1021;-0,03052;-0,11374;-0,13481;0,01914;done
92;0,0647;-0,49857;0,32333;-0,12215;-0,05977;0,12016;0,00928;0,13198;-0,0836;-0,22798;-0,02311;-0,04361;-1,00924;0,01535;being
93;-0,24444;-0,42365;0,52689;-0,15966;-0,14875;0,01146;0,00437;0,03398;-0,04611;-0,23432;-0,03734;0,03946;-0,50982;-0,01236;other
94;0,01913;-1,25339;0,66224;-0,40179;0,00127;0,31672;0,1523;0,21123;0,07035;-0,06426;0,17901;0,17253;0,87039;0,12775;impeachment
95;0,13336;-0,68096;0,52391;0,12206;-0,04476;0,14181;0,03175;0,09968;-0,0512;0,01789;0,00089;0,09122;-0,55753;0,08661;doing
96;0,07703;-0,00597;0,47108;-0,0697;0,00143;0,15438;0,01935;0,36893;-0,00145;-0,05546;0,00953;-0,03968;-0,12865;0,07039;which
97;0,01765;-0,85568;0,58865;-0,10413;-0,03207;0,13323;0,06625;0,11008;0,02162;-0,09041;0,03577;-0,13832;-0,02966;0,02691;states
98;-0,17452;-0,73298;0,62565;-0,1213;-0,07827;0,06518;-0,04341;0,01034;-0,10647;-0,26403;-0,04241;-0,18266;0,82694;-0,0;nothing
99;-0,08445;0,30025;0,56922;-0,13022;-0,01318;0,07627;0,01859;-0,16689;0,03412;-0,14061;-0,00172;-0,00484;0,88062;-0,00939;were
100;0,0269;0,13531;0,30431;0,03361;-0,12309;0,1139;0,00214;0,09534;-0,05046;-0,12712;-0,0117;0,16336;0,56793;0,05719;donï¿½t
101;0,30282;0,30235;0,71174;-0,01836;0,01621;0,20198;0,10428;0,44366;0,0671;-0,06644;0,11647;0,25977;0,20211;0,15609;only
102;0,16368;-0,04602;0,59224;-0,03516;-0,07543;0,09137;0,0102;0,31808;0,0202;-0,05893;0,03321;-0,09447;0,45986;0,08799;them
103;0,03363;-0,23378;0,63339;-0,05422;0,01639;0,11121;0,083;0,20762;0,09782;0,04389;0,08118;0,06404;0,25453;0,11058;back
104;-0,11999;-0,53276;0,43017;-0,09793;-0,05062;0,08493;0,0035;0,16403;-0,00082;-0,12215;0,11396;0,08261;-0,46982;0,01361;like
105;0,01564;-0,53071;0,53833;-0,16547;0,04312;0,26213;0,1679;0,29767;0,14876;0,08554;0,21266;-0,01662;0,71222;0,10501;over
106;-0,04854;0,10791;0,43463;0,10283;0,0122;0,08697;0,16161;0,19544;0,20287;-0,0054;0,08625;-0,12698;-0,01261;0,09567;must
107;0,23509;0,02739;0,86506;0,03007;-0,07535;0,2465;0,0533;0,29073;0,1014;-0,21012;0,00343;-0,09361;-0,04378;0,04944;china
108;-0,03171;-0,17935;0,30462;-0,15691;-0,18219;-0,00116;-0,10334;0,32638;-0,07632;-0,24301;-0,0569;-0,16557;0,43086;0,01254;because
109;-0,01655;0,06453;0,37735;-0,07097;-0,01698;0,03516;0,08183;0,10894;0,0574;-0,24369;0,15129;0,00107;-0,29683;0,06709;had
110;-0,04823;-0,42998;0,0212;-0,28676;-0,28065;-0,09601;-0,17075;-0,10767;-0,16234;-0,14063;-0,16161;-0,31247;-0,21143;-0,08156;vote
111;0,15768;-0,0197;0,81442;0,09041;-0,02483;0,23496;0,06112;0,28355;0,0759;-0,29937;0,0584;0,08054;0,13764;0,12572;going
112;0,04337;-0,22519;0,2213;-0,12993;-0,03259;0,00759;0,07549;0,08487;0,06312;0,09841;-0,01042;-0,05657;-0,73252;0,0157;can
113;0,00126;-0,12671;0,27978;-0,06265;0,00346;0,12074;0,03237;0,14575;0,06206;-0,16205;0,09292;0,13617;-0,57359;0,08071;make
114;-0,00324;-0,16399;0,4719;-0,00402;-0,0171;0,05398;0,05677;0,1873;-0,00351;-0,18483;0,03618;-0,03535;-0,08202;0,05691;job
115;-0,03507;-0,23256;0,7766;-0,0876;0,05442;-0,0118;0,12346;0,12438;0,12925;-0,19261;0,08803;-0,08684;-0,34873;0,04018;dems
116;-0,01095;-0,21882;0,41408;-0,06237;0,02302;0,06522;0,14155;0,15611;0,11427;-0,09848;0,11459;-0,04543;-0,85302;0,06908;state
117;-0,01364;-0,67299;0,10204;-0,01946;-0,16463;0,08084;-0,11823;-0,00314;-0,12676;-0,17983;-0,04963;0,02291;-0,15719;-0,00061;into
118;-0,15527;0,05036;0,29713;0,20621;0,03965;0,15339;0,1382;0,00348;0,09959;-0,30066;0,15759;0,04641;0,10395;0,09008;whitehouse
119;-0,04483;-0,35038;0,54705;0,05013;-0,16497;0,11478;0,06787;0,21896;-0,02944;0,02463;0,07388;0,17113;-0,49973;0,05873;trade
120;0,00332;-0,11875;0,44422;-0,20464;0,07941;0,20437;0,15082;0,37221;0,20308;0,15647;0,17183;-0,03869;1,67962;0,10802;after
121;0,05498;-0,2537;0,60867;-0,11779;-0,05235;0,26254;0,0635;0,36497;-0,02893;-0,1817;0,06245;0,1477;-0,38256;0,09843;deal
122;-0,07044;-0,36048;0,54975;-0,06861;-0,03165;0,01043;-0,00129;0,04259;0,11413;-0,01137;-0,01819;0,10167;0,72456;0,01549;military
123;0,12733;-0,33469;0,51837;-0,2939;-0,22985;0,19164;-0,15155;0,194;-0,09551;-0,19757;-0,07623;-0,24261;-0,5833;0,01828;am
124;0,02231;0,28238;0,50394;-0,07535;-0,02241;0,20843;0,01074;0,07828;-0,03576;-0,24162;0,10335;-0,11414;0,54467;0,06444;said
125;0,00761;0,42958;0,67344;-0,254;-0,03153;0,08505;0,04906;0,15267;0,09559;-0,17478;0,05111;-0,06427;1,06764;0,04397;made
126;0,08763;-0,31972;0,53127;0,03095;0,04745;0,19998;0,10166;0,19996;0,12564;0,0939;0,05381;-0,01253;-0,3996;0,09047;again
127;0,17224;-0,25218;0,6338;-0,29555;-0,0155;0,03726;0,09511;0,26686;0,09772;-0,19806;0,09941;-0,08176;-0,68149;0,07489;first
128;0,04061;0,11709;0,64148;-0,01723;0,12293;0,09554;0,14521;0,35982;0,11577;0,02691;0,16351;0,12752;-0,60231;0,12126;bad
129;-0,14108;-0,03077;0,24452;-0,10449;-0,07174;0,03741;0,01276;-0,08607;-0,113;-0,1424;-0,05359;0,05885;1,51938;0,03311;crime
130;-0,07519;-0,2049;0,60235;-0,27771;-0,02022;-0,0867;0,08704;0,2005;0,07175;-0,20663;0,11015;-0,03844;0,04058;0,00566;him
131;-0,03013;-0,56313;0,56557;-0,05385;-0,04501;0,02909;-0,03826;-0,04636;-0,06658;-0,234;0,01965;-0,07919;-0,36253;0,09619;day
132;-0,13779;-0,54716;0,37267;-0,13584;-0,01987;0,20132;0,15024;0,01382;0,2252;-0,08683;0,17379;0,1011;-0,36279;0,07167;witch
133;-0,05478;-0,16012;0,61081;-0,05305;0,0059;0,29585;0,09515;0,06578;0,04873;-0,33577;0,11387;-0,15988;1,07134;0,06024;did
134;0,25972;0,59548;0,65512;-0,00462;0,10276;0,11664;0,07087;0,4129;0,04192;-0,25273;0,1767;0,05613;-0,00353;0,14723;wall
135;-0,15726;0,15119;0,39505;-0,03398;-0,17973;-0,00621;-0,14201;-0,01077;-0,16725;-0,06694;-0,09198;-0,12467;0,63277;-0,02728;why
136;0,19348;-0,22313;0,61255;0,24692;0,18701;0,27032;0,23049;0,30604;0,1748;-0,11058;0,19813;0,20689;-0,70088;0,17722;ever
137;0,09355;-0,41562;0,57015;-0,1538;0,06154;0,09683;0,05465;0,34044;0,14141;-0,25579;0,15041;0,14468;0,00973;0,06066;see
138;-0,14568;-0,46151;0,33417;-0,15732;-0,01014;0,18578;0,17409;-0,03677;0,28272;-0,03295;0,18608;0,13775;-0,3316;0,06816;hunt
139;0,12636;-0,08177;0,89033;-0,16772;-0,03355;0,0433;0,07244;0,23947;0,08074;-0,20145;0,19913;0,18917;-0,08376;0,08106;how
140;0,02716;-0,04059;0,64235;-0,02189;-0,07567;0,12747;0,04888;0,04483;0,09303;-0,29988;0,11962;0,09963;0,08;0,02174;way
141;-0,04942;-0,71567;0,63767;-0,22718;-0,13071;-0,09168;0,08228;0,1792;0,02425;-0,1672;0,04128;-0,22357;-0,08908;0,00644;republican
142;-0,27766;-0,60588;0,51599;-0,19538;-0,04691;0,04396;0,1209;0,14411;0,07144;0,17836;0,1282;0,0436;-0,839;0,03041;history
143;0,10949;-0,23788;0,80146;0,0366;0,1184;0,10436;0,15717;0,35624;0,1577;-0,10463;0,13437;0,31319;-0,07388;0,11461;win
144;0,10607;-0,00357;0,70722;0,00059;-0,01284;0,11654;0,09642;-0,04753;0,13604;-0,29053;0,03718;-0,02897;0,03933;-0,0102;know
145;0,06997;0,03322;0,40188;0,10494;0,03353;0,2159;0,05624;0,30611;-0,02882;-0,20792;0,05624;0,19053;-0,20513;0,13035;election
146;-0,12424;-0,32688;0,55134;0,1217;-0,03029;0,02021;0,09873;0,24706;0,0811;-0,08244;0,09172;0,01986;-0,65995;0,03885;congress
147;-0,36951;-0,49045;0,08191;-0,32629;0,11801;-0,06126;0,11503;0,024;0,15786;-0,1137;0,26828;0,07207;-0,27048;-0,00757;fbi
148;-0,23145;-0,43584;-0,10638;-0,12566;-0,12453;-0,13762;-0,04242;-0,1433;-0,0897;-0,51315;-0,05253;0,0009;-0,34554;-0,07242;also
149;-0,05059;-0,07586;0,70465;-0,3521;-0,06006;-0,1165;0,06893;-0,35671;0,12395;0,08682;0,04288;0,12185;-0,00677;0,02657;collusion
150;0,02722;-0,34395;0,21395;-0,01259;0,04738;0,06355;0,0861;-0,02288;0,08398;0,29633;0,14329;0,31959;-0,40758;0,03755;jobs
151;-0,16755;0,09041;0,23681;0,1151;-0,13576;0,02591;-0,0321;-0,01396;0,01147;-0,15121;-0,12133;0,00508;0,44138;0,03641;strong
152;-0,21806;-0,28318;0,29918;-0,11357;-0,33407;-0,13005;-0,18056;-0,34978;-0,24194;-0,10711;-0,24185;0,09817;0,08661;-0,08459;against
153;-0,03824;-0,28676;0,93653;-0,19439;-0,028;0,17181;0,0677;0,17754;0,06028;-0,32275;0,13223;0,28725;-0,65834;0,10299;she
154;0,08635;-0,4933;0,71292;-0,24951;-0,08994;0,0258;-0,07153;0,14353;-0,08546;-0,05942;0,01282;-0,25478;-1,04937;-0,05189;go
155;0,18686;-0,61864;0,551;-0,13269;-3e-05;0,17411;0,10062;0,05951;0,15762;-0,12945;0,11897;0,0175;0,15682;0,07315;before
156;0,08745;-0,16829;0,71967;0,1441;0,10499;0,30088;0,10681;0,15586;0,20548;0,08017;0,11514;-0,11933;-1,00681;0,10858;most
157;-0,07911;0,88116;0,3414;-0,03808;-0,05192;0,23238;-0,08881;0,24195;-0,06077;-0,20215;-0,12286;0,13457;0,61043;0,10633;security
158;-0,29406;-0,67952;-0,12318;-0,32481;-0,07795;-0,1018;-0,03973;-0,30958;-0,06447;-0,21873;-0,00316;0,08505;0,23077;-0,08794;republicans
159;-0,15715;-0,48661;0,39553;-0,13423;-0,11941;0,08909;-0,06214;0,02286;-0,06943;-0,06235;-0,13985;-0,04575;-1,05554;-0,00324;work
160;0,14548;-0,6706;0,80258;0,00834;0,06478;0,0497;0,08634;0,26527;0,14638;-0,01352;0,08398;-0,14893;0,24613;0,02836;world
161;0,01;-0,22142;0,8804;-0,12365;-0,09233;0,1746;-0,05346;0,32644;-0,03886;0,0212;0,08411;0,13108;-0,36516;0,06993;any
162;-0,03608;-0,39472;1,19281;-0,05249;0,04766;0,3588;0,06312;0,29739;0,08636;-0,26554;0,23138;0,09965;0,41407;0,17576;her
163;-0,09148;-0,38072;0,47672;-0,0379;-0,08051;0,23097;0,07286;-0,04814;-0,03557;0,11777;0,07415;0,23468;-0,60694;0,09112;economy
164;-0,02177;-0,83826;0,61489;0,09981;-0,03135;0,16104;0,06206;0,22748;0,14269;-0,11608;0,16232;-0,00592;-1,26337;0,11042;democrat
165;0,20524;0,32672;0,4467;0,02492;0,01525;0,23016;0,16141;0,42483;0,17987;0,28967;0,13156;0,10369;-0,26143;0,12146;working
166;0,02894;-0,41431;0,33119;-0,08555;-0,03475;0,2218;0,12844;0,08533;0,11173;-0,10503;0,01226;0,14852;-0,34188;0,05771;two
167;-0,20066;-0,58658;0,24625;-0,23559;0,02551;-0,02117;0,13047;-0,0224;0,13763;-0,04462;0,05229;0,27849;-0,50636;0,08061;mueller
168;0,06832;-0,14879;0,31589;-0,24367;-0,12211;0,19789;-0,02399;0,18525;0,03865;-0,16299;-0,02203;-0,08771;0,64552;0,02465;last
169;0,31164;0,08244;0,40477;-0,05138;0,03972;0,22663;0,10291;0,39876;0,11484;-0,11604;0,06924;-0,14131;-0,06883;0,06643;really
170;-0,31252;-0,53864;0,66221;0,04071;0,10726;0,00714;0,22661;0,19677;0,31787;-0,51177;0,26721;-0,21372;-0,23541;0,01315;foxnews
171;0,08578;-0,65439;1,05635;0,20358;0,06967;0,19961;0,20721;0,46408;0,22067;-0,43441;0,17491;0,16198;-0,48332;0,09205;far
172;0,26803;0,16563;0,21065;0,16128;-0,01571;0,10947;0,07091;0,33282;0,05002;0,09745;0,04355;-0,05228;-0,6736;0,12129;look
